"exam_id"	"exam_date"	"exam_year"	"exam_type"
"GLBAEP103110045"	"1772-03-09"	1772	"settlement"
"GLBAEP103110041"	"1772-03-20"	1772	"settlement"
"GLBAEP103110047"	"1772-03-21"	1772	"settlement"
"GLBAEP103110048"	"1772-03-27"	1772	"settlement"
"GLBAEP103110049"	"1772-03-30"	1772	"settlement"
"GLBAEP103110050"	"1772-04-28"	1772	"settlement"
"GLBAEP103110009"	"1772-05-00"	1772	"settlement"
"GLBAEP103110051"	"1772-05-02"	1772	"settlement"
"GLBAEP103110054"	"1772-05-08"	1772	"settlement"
"GLBAEP103110052"	"1772-05-09"	1772	"settlement"
"GLBAEP103110053"	"1772-05-09"	1772	"settlement"
"GLBAEP103110055_143"	"1772-05-20"	1772	"bastardy"
"GLBAEP103110055_147"	"1772-05-20"	1772	"settlement"
"GLBAEP103110008"	"1772-05-20"	1772	"settlement"
"GLBAEP103120003"	"1772-05-29"	1772	"settlement"
"GLBAEP103120005"	"1772-06-09"	1772	"settlement"
"GLBAEP103120006"	"1772-06-09"	1772	"settlement"
"GLBAEP103120008"	"1772-07-03"	1772	"settlement"
"GLBAEP103120007"	"1772-07-04"	1772	"settlement"
"GLBAEP103120009"	"1772-07-11"	1772	"settlement"
"GLBAEP103120010"	"1772-08-27"	1772	"settlement"
"GLBAEP103120011"	"1772-09-01"	1772	"settlement"
"GLBAEP103120013"	"1772-10-00"	1772	"settlement"
"GLBAEP103120014"	"1772-10-00"	1772	"settlement"
"GLBAEP103120012"	"1772-10-21"	1772	"settlement"
"GLBAEP103120015"	"1772-10-29"	1772	"settlement"
"GLBAEP103120016"	"1772-11-11"	1772	"settlement"
"GLBAEP103120017"	"1772-11-19"	1772	"settlement"
"GLBAEP103120018"	"1772-11-25"	1772	"vagrancy"
"GLBAEP103120019"	"1772-11-27"	1772	"settlement"
"GLBAEP103120020"	"1772-11-30"	1772	"settlement"
"GLBAEP103120021"	"1772-11-30"	1772	"bastardy"
"GLBAEP103120026"	"1772-12-00"	1772	"settlement"
"GLBAEP103120023"	"1772-12-00"	1772	"settlement"
"GLBAEP103120022"	"1772-12-01"	1772	"settlement"
"GLBAEP103120024"	"1772-12-02"	1772	"settlement"
"GLBAEP103120025"	"1772-12-18"	1772	"settlement"
"GLBAEP103140019"	"1773-01-00"	1773	"settlement"
"GLBAEP103140018"	"1773-01-07"	1773	"settlement"
"GLBAEP103120028"	"1773-01-25"	1773	"settlement"
"GLBAEP103120027"	"1773-01-26"	1773	"settlement"
"GLBAEP103120037"	"1773-02-00"	1773	"settlement"
"GLBAEP103120029"	"1773-02-02"	1773	"settlement"
"GLBAEP103120031"	"1773-02-04"	1773	"settlement"
"GLBAEP103120030"	"1773-02-05"	1773	"settlement"
"GLBAEP103120032"	"1773-02-09"	1773	"settlement"
"GLBAEP103120033"	"1773-02-24"	1773	"settlement"
"GLBAEP103120034"	"1773-02-24"	1773	"settlement"
"GLBAEP103120035"	"1773-02-24"	1773	"settlement"
"GLBAEP103120036"	"1773-02-26"	1773	"settlement"
"GLBAEP103120038"	"1773-03-09"	1773	"settlement"
"GLBAEP103120039"	"1773-03-24"	1773	"settlement"
"GLBAEP103120040"	"1773-03-31"	1773	"settlement"
"GLBAEP103120041"	"1773-04-07"	1773	"settlement"
"GLBAEP103120042"	"1773-04-10"	1773	"settlement"
"GLBAEP103120043"	"1773-04-15"	1773	"settlement"
"GLBAEP103120044"	"1773-05-04"	1773	"settlement"
"GLBAEP103120045"	"1773-05-10"	1773	"settlement"
"GLBAEP103120046"	"1773-05-13"	1773	"settlement"
"GLBAEP103120047"	"1773-05-18"	1773	"settlement"
"GLBAEP103120048"	"1773-06-02"	1773	"settlement"
"GLBAEP103120049"	"1773-06-30"	1773	"settlement"
"GLBAEP103120055"	"1773-07-00"	1773	"settlement"
"GLBAEP103120050"	"1773-07-05"	1773	"settlement"
"GLBAEP103120052"	"1773-07-05"	1773	"settlement"
"GLBAEP103120051"	"1773-07-10"	1773	"settlement"
"GLBAEP103130006"	"1773-08-00"	1773	"settlement"
"GLBAEP103120056"	"1773-08-05"	1773	"bastardy"
"GLBAEP103130001"	"1773-08-05"	1773	"bastardy"
"GLBAEP103130003"	"1773-08-06"	1773	"settlement"
"GLBAEP103130002"	"1773-08-07"	1773	"settlement"
"GLBAEP103130004"	"1773-08-12"	1773	"settlement"
"GLBAEP103130005"	"1773-08-16"	1773	"settlement"
